7:00 - 8:00,8:00 - 9:00,9:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00,21:00 - 22:00,22:00 - 23:00,23:00 - 0:00,0:00 - 1:00,1:00 - 2:00,2:00 - 3:00,3:00 - 4:00,4:00 - 5:00,5:00 - 6:00,6:00 - 7:00
7.12232836610891,22.453979276811587,22.28623261294264,13.421548418920366,13.041108624276015,17.622930134210282,17.384748484889595,13.295985477401342,12.889491371598822,13.030852854503804,19.490793798743354,27.791239509099253,21.55677244079667,12.024732924083445,9.40814391183778,6.707545380273663,4.800060863141953,1.8959138021248638,0.815995254738402,0.333992227483486,0.25576671138941237,0.3377019815708866,0.5958135369419485,1.0849894111134413
28.833830748951144,80.41857699724154,79.99132308764898,51.63509467312966,46.88155181444214,65.00781422740738,62.74114375669538,53.39665802372102,48.0719133752413,47.089776286290636,68.59904747549825,87.39766563379878,75.01709884683049,45.801109313060735,37.78563279256804,26.595509047953023,18.36254063020335,7.652251079959582,2.78627834020539,1.9049048848074004,1.3747687691675066,1.6037044994935363,2.385648343518836,5.637304834761182
8.808768259795157,26.760390274092337,26.44132869540618,14.283219596161164,13.478717907346862,20.65504323287515,17.53003502512188,14.984546141815056,13.453561904258923,13.59699879558314,20.975657535075584,30.432720821244143,25.646969960121975,13.89002790005756,11.843458198872174,8.364220486755949,5.939707513155843,2.2573672596541114,1.1978643071478734,0.46678710963100795,0.36732441123412657,0.36732441123412657,0.6068353955495568,1.6717438242928375
14.602448736933452,43.577764357574324,43.18163722054871,28.853550649761974,26.570582454686896,32.493518265423496,30.37037748434049,31.581370388382382,26.50453901801616,26.559334302537742,35.63288707788622,50.08992594630309,41.251420224212715,26.80056720932058,21.504913245798456,13.258763157589408,8.886558078332872,3.545535960449298,1.43134481926286,0.801277933316014,0.7455549648629866,0.7619025334722512,1.0046120255808269,2.8827040142213995
12.168872300551069,34.437923710886814,33.75505185405562,22.529569335373033,18.82914928418702,26.819818716807163,26.4710979183127,23.401257295606648,18.895750521619778,19.475654957928853,29.176568984514624,39.63744701165044,32.176977749991906,20.833241534527982,16.50030406787684,11.006634507168167,8.33530988192441,3.8143929722527194,1.5128258148711886,0.7252327124082582,0.6076652430150522,0.6076652430150522,1.1360378958977817,2.0900946711524204
5.72951057358896,18.199933841905956,17.776041980815762,11.564873856958865,10.475870638206889,14.414431293009368,13.989068498987848,10.595965605015087,10.811893804064432,10.491948675972973,15.60807339060539,21.653255936751286,17.06386873529729,10.72930181076305,8.014211398037402,5.24488727435851,4.121465275215415,1.7001371596557207,0.7397106241216209,0.30097120946866956,0.22860964021093688,0.2918539640371351,0.47940492967974324,1.0553045786661526
1.2233846869355878,3.8861120997079204,3.79560126023677,2.4693714063752408,2.2368437157927272,3.0778186527905533,2.9869937346907696,2.262486803711693,2.308592531033718,2.2402767533875387,3.332689194545384,4.623477240347451,3.643535593925108,2.290957206241027,1.7112218183903445,1.1199062631512406,0.8800293569014074,0.36301909911828856,0.15794554154162196,0.06426440166979414,0.0488135119968414,0.06231765625328538,0.10236417967621432,0.2253322417353486
8.807323697628846,29.09795290735165,28.439129142443736,17.465251902803953,16.476792433491774,21.366804222411258,20.846923021659723,18.765217118411492,16.471534016299458,16.33533862197637,23.19675849733081,29.675660120108354,27.32904635508993,16.576670614956782,12.680891786091328,7.996440640417714,6.046746238368659,2.546860082458151,0.9824671627454682,0.6379028337182977,0.41726015054347826,0.41726015054347826,0.7695618405164939,1.607600788906018
8.370640176722954,19.129221384055374,18.604813957940973,13.764015870510626,11.964998275974088,15.57555426201179,15.316780833840786,14.126781797099232,11.727650686496412,11.768516332547755,16.527972775994726,22.27088091112413,17.924055003509608,12.642715440328955,9.632160296574233,7.552102720934171,5.28508332313792,2.2260552106079112,0.774864084296779,0.3913011928187423,0.37741750442442024,0.5389356358446385,0.6510043426885433,1.2207733261317573
3.04283371660056,9.151479692652536,8.981518492783659,5.537926851690144,5.386733732354628,6.361800661985919,6.233918147535151,5.703467107629987,5.3743484245824495,5.435123523049147,7.140356815138876,10.164820523870718,8.973095735693015,5.418583137157771,4.918614032485057,2.95129426295689,2.0952427302668797,1.011992711075911,0.3847106050672804,0.19693471712122598,0.1907420632351367,0.1907420632351367,0.23837999158000606,0.49874032696731857
